	Class	Label	FileContent
0	Actions.java	GUI	net sf jabref gui actions global string constants gui actions actions string abbreviate iso abbreviateiso string abbreviate medline abbreviatemedline string add file link addfilelink string add group addtogroup string auto set file autosetfile string back back string cleanup cleanup string copy copy string copy key copykey string copy cite key copycitekey string copy key title copykeyandtitle string copy key link copykeyandlink string cut cut string db connect dbconnect string delete delete string download full text downloadfulltext string dupli check duplicheck string edit edit string edit preamble editpreamble string edit strings editstrings string export clipboard exporttoclipboard string focus table focustable string forward forward string make key makekey string mark entries markentries string merge database mergedatabase string merge entries mergeentries string merge fetched entry mergewithfetchedentry string next preview style nextpreviewstyle string move group movetogroup string open console openconsole string open external file openexternalfile string open folder openfolder string open url openurl string paste paste string plain text plaintextimport string previous preview style previouspreviewstyle string pull changes shared database pullchangesfromshareddatabase string redo redo string remove group removefromgroup string replace replaceall string resolve duplicate keys resolveduplicatekeys string save save string save saveas string save selected saveselectedas string save selected plain saveselectedasplain string search search string global search globalsearch string select selectall string send email sendasemail string toggle highlights groups matching togglehighlightgroupsmatchingall string toggle highlights groups matching togglehighlightgroupsmatchingany string toggle highlights groups matching disable togglehighlightgroupsmatchingdisable string toggle groups togglegroups string toggle preview togglepreview string unabbreviate unabbreviate string undo undo string unmark unmarkall string unmark entries unmarkentries string write xmp writexmp string print preview printpreview 
1	AutoLinkFilesAction.java	GUI	net sf jabref gui actions awt event actionevent util list javax swing abstractaction javax swing action javax swing jdialog net sf jabref globals net sf jabref jabrefexecutorservice net sf jabref jabrefgui net sf jabref gui icontheme net sf jabref gui externalfiles autosetlinks net sf jabref gui keyboard keybinding net sf jabref gui undo namedcompound net sf jabref logic l10n localization net sf jabref model entry bibentry action may used menu button never entry editor filelisteditor entryeditor ways update file links autolinkfilesaction abstractaction autolinkfilesaction putvalue action small icon icontheme jabreficon auto file link getsmallicon putvalue action large icon key icontheme jabreficon auto file link geticon putvalue action name localization lang automatically set file links putvalue action accelerator key globals getkeyprefs getkey keybinding automatically link files override actionperformed actionevent event list<bibentry> entries jabrefgui getmainframe getcurrentbasepanel getselectedentries entries isempty jabrefgui getmainframe getcurrentbasepanel output localization lang operation requires one entries selected jdialog diag jdialog jabrefgui getmainframe true namedcompound nc namedcompound localization lang automatically set file links runnable runnable autosetlinks autosetlinks entries nc null null jabrefgui getmainframe getcurrentbasepanel getbibdatabasecontext getid entry updated util autosetlinks treat nc status message nc hasedits nc end jabrefgui getmainframe getcurrentbasepanel getundomanager addedit nc jabrefgui getmainframe getcurrentbasepanel markbasechanged jabrefgui getmainframe output localization lang finished automatically setting external links else jabrefgui getmainframe output localization lang finished automatically setting external links localization lang files found diag jabrefexecutorservice instance execute runnable 
2	BaseAction.java	GUI	net sf jabref gui actions baseaction used define actions called base frame runcommand runcommand finds appropriate baseaction object runs action method functionalinterface interface baseaction action throws exception 
3	ChangeTypeAction.java	GUI	net sf jabref gui actions awt event actionevent javax swing abstractaction net sf jabref gui basepanel net sf jabref model entry entrytype changetypeaction abstractaction string type basepanel panel changetypeaction entrytype type basepanel bp super type getname type type getname panel bp override actionperformed actionevent evt panel changetypeofselectedentries type 
4	CleanupAction.java	GUI	net sf jabref gui actions util list util objects javax swing joptionpane net sf jabref globals net sf jabref gui basepanel net sf jabref gui jabrefframe net sf jabref gui cleanup cleanuppresetpanel net sf jabref gui undo namedcompound net sf jabref gui undo undoablefieldchange net sf jabref gui util component checkboxmessage net sf jabref gui worker abstractworker net sf jabref logic cleanup cleanuppreset net sf jabref logic cleanup cleanupworker net sf jabref logic l10n localization net sf jabref model fieldchange net sf jabref model entry bibentry net sf jabref preferences jabrefpreferences cleanupaction abstractworker basepanel panel jabrefframe frame global variable count unsuccessful renames unsuccessfulrenames boolean canceled modifiedentriescount jabrefpreferences preferences cleanupaction basepanel panel jabrefpreferences preferences panel panel frame panel frame preferences objects requirenonnull preferences override init canceled false modifiedentriescount panel getselectedentries isempty none selected inform user select entries first joptionpane showmessagedialog frame localization lang first select entries clean localization lang cleanup entry joptionpane information message canceled true frame block panel output localization lang cleanup entries integer tostring panel getselectedentries size override run canceled cleanuppresetpanel presetpanel cleanuppresetpanel panel getbibdatabasecontext cleanuppreset loadfrompreferences preferences choice showdialog presetpanel choice joptionpane ok option canceled true cleanuppreset cleanuppreset presetpanel getcleanuppreset cleanuppreset storeinpreferences preferences cleanuppreset isrenamepdf globals prefs getboolean jabrefpreferences ask auto naming pdfs checkboxmessage cbm checkboxmessage localization lang auto generating pdf names support undo continue? localization lang disable confirmation dialog false answer joptionpane showconfirmdialog frame cbm localization lang autogenerate pdf names joptionpane yes option cbm isselected globals prefs putboolean jabrefpreferences ask auto naming pdfs false answer joptionpane option canceled true bibentry entry panel getselectedentries undo granularity entry level namedcompound ce namedcompound localization lang cleanup entry docleanup cleanuppreset entry ce ce end ce hasedits modifiedentriescount panel getundomanager addedit ce override update canceled frame unblock unsuccessfulrenames rename failed least one entry joptionpane showmessagedialog frame localization lang file rename failed entries integer tostring unsuccessfulrenames localization lang autogenerate pdf names joptionpane information message modifiedentriescount panel updateentryeditorifshowing panel markbasechanged string message switch modifiedentriescount case 0: message localization lang entry needed clean break case 1: message localization lang one entry needed clean break default: message localization lang entries needed clean integer tostring modifiedentriescount break panel output message frame unblock showdialog cleanuppresetpanel presetpanel string dialogtitle localization lang cleanup entries object[] messages localization lang would like clean up? presetpanel getpanel joptionpane showconfirmdialog frame messages dialogtitle joptionpane ok cancel option joptionpane question message runs cleanup entry records change docleanup cleanuppreset preset bibentry entry namedcompound ce create run cleaner cleanupworker cleaner cleanupworker panel getbibdatabasecontext preferences getcleanuppreferences globals journalabbreviationloader list<fieldchange> changes cleaner cleanup preset entry unsuccessfulrenames cleaner getunsuccessfulrenames changes isempty register undo action fieldchange change changes ce addedit undoablefieldchange change 
5	ConnectToSharedDatabaseAction.java	GUI	net sf jabref gui actions awt event actionevent javax swing action net sf jabref gui jabrefframe net sf jabref gui shared connecttoshareddatabasedialog net sf jabref logic l10n localization action concerned opening shared database connecttoshareddatabaseaction mnemonicawareaction jabrefframe jabrefframe connecttoshareddatabaseaction jabrefframe jabrefframe super jabrefframe jabrefframe putvalue action name localization menutitle connect shared database putvalue action short description localization lang connect shared database override actionperformed actionevent connecttoshareddatabasedialog connecttoshareddatabasedialog connecttoshareddatabasedialog jabrefframe connecttoshareddatabasedialog setvisible true 
6	CopyAction.java	GUI	net sf jabref gui actions awt event actionevent javax swing abstractaction javax swing action javax swing text jtextcomponent net sf jabref gui clipboardmanager net sf jabref gui icontheme net sf jabref logic l10n localization copyaction abstractaction jtextcomponent field copyaction jtextcomponent field field field putvalue action name localization lang copy clipboard putvalue action short description localization lang copy clipboard putvalue action small icon icontheme jabreficon copy getsmallicon putvalue action large icon key icontheme jabreficon copy geticon override actionperformed actionevent field null clipboardmanager clipboard clipboardmanager string selectedtext field getselectedtext string alltext field gettext selectedtext null selectedtext isempty clipboard setclipboardcontents selectedtext else alltext null alltext isempty clipboard setclipboardcontents alltext 
7	CopyBibTeXKeyAndLinkAction.java	GUI	net sf jabref gui actions util list util stream collectors net sf jabref jabrefgui net sf jabref gui clipboardmanager net sf jabref gui maintable maintable net sf jabref logic l10n localization net sf jabref logic util os net sf jabref model entry bibentry net sf jabref model entry fieldname copy selected entry's bibtex key hyperlink url clipboard case entry bibtex key copied case entry url copy bibtex key copybibtexkeyandlinkaction baseaction maintable maintable copybibtexkeyandlinkaction maintable maintable maintable maintable override action throws exception list<bibentry> entries maintable getselectedentries entries isempty stringbuilder sb stringbuilder list<bibentry> entrieswithkey entries stream filter bibentry::hascitekey collect collectors tolist entrieswithkey isempty jabrefgui getmainframe output localization lang none selected entries bibtex keys bibentry entry entrieswithkey string key entry getcitekeyoptional get string url entry getfield fieldname url orelse sb append url isempty key string format <a href s\ s< a> url key sb append os newline clipboardmanager clipboard clipboardmanager clipboard setclipboardcontents sb tostring copied entrieswithkey size tocopy entries size copied tocopy entries keys jabrefgui getmainframe output entries size localization lang copied keys localization lang copied key else jabrefgui getmainframe output localization lang warning: entries undefined bibtex key long tostring tocopy copied integer tostring tocopy 
8	CopyDoiUrlAction.java	GUI	net sf jabref gui actions awt event actionevent util optional javax swing abstractaction javax swing text jtextcomponent net sf jabref jabrefgui net sf jabref gui clipboardmanager net sf jabref logic l10n localization net sf jabref logic util doi copies doi url clipboard copydoiurlaction abstractaction jtextcomponent component null string identifier copydoiurlaction string identifier super localization menutitle copy doi url identifier identifier copydoiurlaction jtextcomponent component component gettext component component override actionperformed actionevent identifier component null identifier component gettext optional<string> urloptional doi build identifier map doi::geturiasasciistring urloptional ispresent clipboardmanager clipboard clipboardmanager clipboard setclipboardcontents urloptional get jabrefgui getmainframe output localization lang link copied clipboard else jabrefgui getmainframe output localization lang invalid doi: 0' identifier 
9	CopyVersionToClipboardAction.java	GUI	net sf jabref gui actions awt event actionevent javax swing abstractaction net sf jabref globals net sf jabref jabrefgui net sf jabref gui clipboardmanager net sf jabref logic l10n localization net sf jabref logic util buildinfo copyversiontoclipboardaction abstractaction override actionperformed actionevent string info string format jabref njava globals build info getversion buildinfo os buildinfo os version buildinfo os arch buildinfo version clipboardmanager setclipboardcontents info jabrefgui getmainframe output localization lang copied version clipboard 
