	FileName	Label	FileContent
0	CrossrefFetcherEvaluator.java	CLI	net sf jabref cli io filereader io ioexception util list util optional util concurrent countdownlatch util concurrent executorservice util concurrent executors util concurrent atomic atomicinteger net sf jabref globals net sf jabref logic importer parserresult net sf jabref logic importer fetcher crossref net sf jabref logic importer fileformat bibtexparser net sf jabref logic util doi net sf jabref model database bibdatabase net sf jabref model entry bibentry net sf jabref model entry fieldname net sf jabref preferences jabrefpreferences useful checking algorithm improvements thresholds used inside jabref code crossreffetcherevaluator main string[] args throws ioexception interruptedexception globals prefs jabrefpreferences getinstance try filereader reader filereader args[0] bibtexparser parser bibtexparser globals prefs getimportformatpreferences parserresult result parser parse reader bibdatabase db result getdatabase list<bibentry> entries db getentries atomicinteger dois atomicinteger atomicinteger doifound atomicinteger atomicinteger doinew atomicinteger atomicinteger doiidentical atomicinteger total entries size countdownlatch countdownlatch countdownlatch total executorservice executorservice executors newfixedthreadpool bibentry entry entries executorservice execute runnable override run optional<doi> origdoi entry getfield fieldname doi flatmap doi::build origdoi ispresent dois incrementandget optional<doi> crossrefdoi crossref finddoi entry crossrefdoi ispresent doifound incrementandget origdoi get getdoi equalsignorecase crossrefdoi get getdoi doiidentical incrementandget else system println doi identical entry else system println doi found for: entry else optional<doi> crossrefdoi crossref finddoi entry crossrefdoi ispresent system println doi found for: entry doinew incrementandget countdownlatch countdown countdownlatch await system println system println total db size: total system println total dois: dois system println dois found: doifound system println dois identical: doiidentical system println dois found: doinew executorservice shutdown 
1	AuxCommandLine.java	CLI	net sf jabref cli net sf jabref logic auxparser auxparser net sf jabref logic auxparser auxparserresult net sf jabref model database bibdatabase net sf jabref model strings stringutil auxcommandline string auxfile bibdatabase database auxcommandline string auxfile bibdatabase database auxfile stringutil getcorrectfilename auxfile aux database database bibdatabase perform bibdatabase subdatabase null auxfile isempty database null auxparser auxparser auxparser auxfile database auxparserresult result auxparser parse subdatabase result getgeneratedbibdatabase print statistics system println result getinformation true subdatabase 
2	JabRefCLI.java	CLI	net sf jabref cli util arrays util list net sf jabref globals net sf jabref logic exporter exportformats net sf jabref logic l10n localization org apache commons cli commandline org apache commons cli defaultparser org apache commons cli helpformatter org apache commons cli option org apache commons cli options org apache commons cli parseexception org apache commons logging log org apache commons logging logfactory jabrefcli log logger logfactory getlog jabrefcli list<string> leftover commandline cl jabrefcli string[] args options options getoptions try cl defaultparser parse options args leftover arrays aslist cl getargs catch parseexception logger warn problem parsing arguments printusage throw runtimeexception boolean ishelp cl hasoption help boolean isshowversion cl hasoption version boolean isblank cl hasoption blank boolean isloadsession cl hasoption loads boolean isdisablegui cl hasoption nogui boolean ispreferencesexport cl hasoption prexp string getpreferencesexport cl getoptionvalue prexp jabref prefs xml boolean ispreferencesimport cl hasoption primp string getpreferencesimport cl getoptionvalue primp jabref prefs xml boolean ispreferencesreset cl hasoption prdef string getpreferencesreset cl getoptionvalue prdef boolean isfileexport cl hasoption output string getfileexport cl getoptionvalue output boolean isfileimport cl hasoption string getfileimport cl getoptionvalue boolean isauximport cl hasoption aux string getauximport cl getoptionvalue aux boolean isimporttoopenbase cl hasoption importtoopen string getimporttoopenbase cl getoptionvalue importtoopen boolean isdebuglogging cl hasoption debug boolean isfetcherengine cl hasoption fetch string getfetcherengine cl getoptionvalue fetch boolean isexportmatches cl hasoption exportmatches string getexportmatches cl getoptionvalue exportmatches boolean isgeneratebibtexkeys cl hasoption generatebibtexkeys boolean isautomaticallysetfilelinks cl hasoption automaticallysetfilelinks options getoptions options options options boolean options options addoption version false localization lang display version options addoption nogui false localization lang gui process command line options options addoption help false localization lang display help command line options options addoption blank false localization lang open files startup options addoption null debug false localization lang show debug level messages options addoption option builder longopt desc string format s: s[ format] localization lang file localization lang filename hasarg argname file build options addoption option builder longopt output desc string format s: s[ export format] localization lang output export file localization lang filename hasarg argname file build options addoption option builder longopt prexp desc localization lang export preferences file hasarg argname file build options addoption option builder longopt primp desc localization lang preferences file hasarg argname file build options addoption option builder longopt prdef desc localization lang reset preferences key1 key2 'all' hasarg argname file build options addoption option builder longopt aux desc string format s: s[ aux] s[ bib] localization lang subdatabase aux localization lang file localization lang hasarg argname file build options addoption option builder longopt importtoopen desc localization lang open tab hasarg argname file build options addoption option builder longopt fetch desc localization lang run fetcher fetch medline:cancer\ hasarg argname file build options addoption option builder longopt exportmatches desc jabrefcli getexportmatchessyntax hasarg argname file build options addoption option builder longopt generatebibtexkeys desc localization lang regenerate keys entries bibtex file build options addoption option builder asfl longopt automaticallysetfilelinks desc localization lang automatically set file links build options displayversion system println getversioninfo printusage string header string importformats globals format reader getimportformatlist string importformatslist string format s: localization lang available formats importformats string outformats exportformats getconsoleexportlist string outformatslist string format s: localization lang available export formats outformats string footer '\n' importformatslist outformatslist \nplease report issues https: github com jabref jabref issues helpformatter formatter helpformatter formatter printhelp jabref [options] [bibtex file]\n\noptions: header getoptions footer true string getversioninfo string format jabref globals build info getversion list<string> getleftover leftover string getexportmatchessyntax string format s]searchterm outputfile: s[ s] localization lang field localization lang file localization lang exportformat 
3	ArgumentProcessor.java	CLI	net sf jabref cli io file io ioexception nio file path nio file paths util arraylist util collection util collections util list util locale util map util optional util prefs backingstoreexception net sf jabref globals net sf jabref jabrefexception net sf jabref gui externalfiles autosetlinks net sf jabref gui importer fetcher entryfetcher net sf jabref gui importer fetcher entryfetchers net sf jabref logic customentrytypesmanager net sf jabref logic bibtexkeypattern bibtexkeypatternutil net sf jabref logic exporter bibdatabasewriter net sf jabref logic exporter bibtexdatabasewriter net sf jabref logic exporter exportformat net sf jabref logic exporter exportformats net sf jabref logic exporter filesavesession net sf jabref logic exporter iexportformat net sf jabref logic exporter saveexception net sf jabref logic exporter savepreferences net sf jabref logic exporter savesession net sf jabref logic importer importexception net sf jabref logic importer importformatreader net sf jabref logic importer opendatabase net sf jabref logic importer outputprinter net sf jabref logic importer parserresult net sf jabref logic l10n localization net sf jabref logic layout layoutformatterpreferences net sf jabref logic logging jabreflogger net sf jabref logic net urldownload net sf jabref logic search databasesearcher net sf jabref logic search searchquery net sf jabref logic util os net sf jabref model defaults net sf jabref model database bibdatabase net sf jabref model database bibdatabasecontext net sf jabref model database bibdatabasemode net sf jabref model entry bibentry net sf jabref model metadata metadata net sf jabref model strings stringutil net sf jabref preferences jabrefpreferences net sf jabref preferences searchpreferences net sf jabref shared prefs shareddatabasepreferences org apache commons logging log org apache commons logging logfactory argumentprocessor log logger logfactory getlog argumentprocessor enum mode initial start remote start jabrefcli cli list<parserresult> parserresults mode startupmode boolean noguineeded argumentprocessor string[] args mode startupmode cli jabrefcli args startupmode startupmode parserresults processarguments list<parserresult> getparserresults parserresults boolean hasparserresults parserresults isempty list<parserresult> processarguments cli isblank cli isdebuglogging jabreflogger setdebug startupmode mode initial start cli isshowversion cli displayversion startupmode mode initial start cli ishelp cli printusage noguineeded true collections emptylist check reset preferences default values: cli ispreferencesreset resetpreferences cli getpreferencesreset check preferences file: cli ispreferencesimport importpreferences list put imported loaded database list<parserresult> loaded importandopenfiles cli isblank cli isfetcherengine fetch cli getfetcherengine ifpresent loaded::add cli isexportmatches loaded isempty exportmatches loaded collections emptylist else system err println localization lang output option depends valid input option cli isgeneratebibtexkeys regeneratebibtexkeys loaded cli isautomaticallysetfilelinks automaticallysetfilelinks loaded cli isfileexport loaded isempty exportfile loaded cli getfileexport split else system err println localization lang output option depends valid option logger debug finished export cli ispreferencesexport try globals prefs exportpreferences cli getpreferencesexport catch jabrefexception ex logger error cannot export preferences ex cli isblank cli isauximport doauximport loaded loaded boolean exportmatches list<parserresult> loaded string[] data cli getexportmatches split string searchterm data[0] replace \\$ enables blanks within search term: stands blank parserresult pr loaded get loaded size bibdatabasecontext databasecontext pr getdatabasecontext bibdatabase database pr getdatabase searchpreferences searchpreferences searchpreferences globals prefs searchquery query searchquery searchterm searchpreferences iscasesensitive searchpreferences isregularexpression list<bibentry> matches databasesearcher query database getmatches export matches matches isempty string formatname read export format take default format format entered switch data length case 3: formatname data[2] break case 2: default exportformat: html table bibtex formatname tablerefsabsbib break default: system err println localization lang output file missing concat \n \t concat localization lang usage concat jabrefcli getexportmatchessyntax noguineeded true false export database iexportformat format exportformats getexportformat formatname format null system err println localization lang unknown export format formatname else exportformat instance: try system println localization lang exporting data[1] format performexport databasecontext data[1] databasecontext getmetadata getencoding orelse globals prefs getdefaultencoding matches catch exception ex system err println localization lang could export file data[1] ': ex getmessage else system err println localization lang search matches true doauximport list<parserresult> loaded boolean usagemsg loaded isempty usagemsg generateaux loaded cli getauximport split else usagemsg true usagemsg system println localization lang base bibtex file specified system println localization lang usage system println jabref aux infile[ aux] outfile[ bib] base bibtex file list<parserresult> importandopenfiles list<parserresult> loaded arraylist<> list<string> toimport arraylist<> cli isblank cli getleftover isempty string aleftover cli getleftover leftover arguments bib extension interpreted bib files open files files could opened bib try instead boolean bibextension aleftover tolowercase locale english endswith bib parserresult pr parserresult getnullresult bibextension pr opendatabase loaddatabase aleftover globals prefs getimportformatpreferences bibextension pr isnullresult try file normally tab initiated another instance remote listener instead current database enable easy integration web browsers open reference file jabref startupmode mode initial start toimport add aleftover else loaded add importtoopenbase aleftover orelse parserresult getnullresult else loaded add pr cli isblank cli isfileimport toimport add cli getfileimport string filenamestring toimport importfile filenamestring ifpresent loaded::add cli isblank cli isimporttoopenbase importtoopenbase cli getimporttoopenbase ifpresent loaded::add loaded boolean generateaux list<parserresult> loaded string[] data data length parserresult pr loaded get auxcommandline acl auxcommandline data[0] pr getdatabase bibdatabase newbase acl perform boolean notsavedmsg false write output something could resolved newbase null newbase hasentries string subname stringutil getcorrectfilename data[1] bib try system println localization lang saving subname savepreferences prefs savepreferences loadforsavefrompreferences globals prefs bibdatabasewriter<savesession> databasewriter bibtexdatabasewriter<> filesavesession::new defaults defaults defaults bibdatabasemode frompreference globals prefs getboolean jabrefpreferences biblatex default mode savesession session databasewriter savedatabase bibdatabasecontext newbase defaults prefs show warning message encoding work characters: session getwriter couldencodeall system err println localization lang warning localization lang chosen encoding 0' could encode following characters: session getencoding displayname session getwriter getproblemcharacters session commit subname catch saveexception ex system err println localization lang could save file \n ex getlocalizedmessage notsavedmsg true notsavedmsg system println localization lang database generated false else true exportfile list<parserresult> loaded string[] data data length signals latest stored bibtex format given file loaded isempty parserresult pr loaded get loaded size pr isinvalid try system println localization lang saving data[0] savepreferences prefs savepreferences loadforsavefrompreferences globals prefs defaults defaults defaults bibdatabasemode frompreference globals prefs getboolean jabrefpreferences biblatex default mode bibdatabasewriter<savesession> databasewriter bibtexdatabasewriter<> filesavesession::new savesession session databasewriter savedatabase bibdatabasecontext pr getdatabase pr getmetadata defaults prefs show warning message encoding work characters: session getwriter couldencodeall system err println localization lang warning localization lang chosen encoding 0' could encode following characters: session getencoding displayname session getwriter getproblemcharacters session commit data[0] catch saveexception ex system err println localization lang could save file \n ex getlocalizedmessage else system err println localization lang output option depends valid option else data length signals latest stored given format given file parserresult pr loaded get loaded size set global variable database's file directory exporting formatters resolve linked files correctly ugly hack file thefile pr getfile get thefile isabsolute thefile thefile getabsolutefile bibdatabasecontext databasecontext pr getdatabasecontext databasecontext setdatabasefile thefile globals prefs filedirfordatabase databasecontext getfiledirectory globals prefs getfiledirectorypreferences system println localization lang exporting data[0] iexportformat format exportformats getexportformat data[1] format null system err println localization lang unknown export format data[1] else exportformat instance: try format performexport pr getdatabasecontext data[0] pr getdatabasecontext getmetadata getencoding orelse globals prefs getdefaultencoding null catch exception ex system err println localization lang could export file data[0] ': ex getmessage importpreferences try globals prefs importpreferences cli getpreferencesimport customentrytypesmanager loadcustomentrytypes globals prefs map<string exportformat> customformats globals prefs customexports getcustomexportformats globals prefs globals journalabbreviationloader layoutformatterpreferences layoutpreferences globals prefs getlayoutformatterpreferences globals journalabbreviationloader savepreferences savepreferences savepreferences loadforexportfrompreferences globals prefs exportformats initallexports customformats layoutpreferences savepreferences catch jabrefexception ex logger error cannot preferences ex resetpreferences string value equals value trim try system println localization lang setting preferences default values globals prefs clear shareddatabasepreferences clear catch backingstoreexception system err println localization lang unable clear preferences logger error unable clear preferences else string[] keys value split string key keys globals prefs haskey key trim system println localization lang resetting preference key 0' key trim globals prefs clear key trim else system println localization lang unknown preference key 0' key trim automaticallysetfilelinks list<parserresult> loaded parserresult parserresult loaded bibdatabase database parserresult getdatabase logger info localization lang automatically setting file links autosetlinks autosetlinks database getentries parserresult getdatabasecontext regeneratebibtexkeys list<parserresult> loaded parserresult parserresult loaded bibdatabase database parserresult getdatabase metadata metadata parserresult getmetadata metadata null logger info localization lang regenerating bibtex keys according metadata bibentry entry database getentries try make label bibtexkeypatternutil makelabel metadata getcitekeypattern globals prefs getbibtexkeypatternpreferences getkeypattern database entry globals prefs getbibtexkeypatternpreferences else logger info localization lang meta data present bib file cannot regenerate bibtex keys run entry fetcher command line <p> note works headlessly entryfetcher show gui param fetchcommand string containing fetcher use id entryfetcherextension minus fetcher search query separated parser result containing entries fetched null error occurred optional<parserresult> fetch string fetchcommand fetchcommand null fetchcommand contains fetchcommand split length system println localization lang expected syntax fetch '<name fetcher>:<query>' system println localization lang following fetchers available: optional empty string[] split fetchcommand split string engine split[0] entryfetchers fetchers entryfetchers globals journalabbreviationloader entryfetcher fetcher null entryfetcher fetchers getentryfetchers engine equalsignorecase getclass getsimplename replace fetcher fetcher fetcher null system println localization lang could find fetcher 0' engine system println localization lang following fetchers available: entryfetcher fetchers getentryfetchers system println getclass getsimplename replace fetcher tolowercase locale english optional empty string query split[1] system println localization lang running query 0' fetcher 1' query engine localization lang please wait collection<bibentry> result importinspectioncommandline query query fetcher result isempty system println localization lang query 0' fetcher 1' results query engine optional empty optional parserresult result boolean isblank cli isblank open file like importfile also request jabref focus database param argument see importfile parserresult settoopentab true optional<parserresult> importtoopenbase string argument optional<parserresult> result importfile argument result ifpresent settoopentab true result optional<parserresult> importfile string argument string[] data argument split string address data[0] path file address startswith http: address startswith https: address startswith ftp: download web resource temporary file try file urldownload address downloadtotemporaryfile catch ioexception system err println localization lang problem downloading address getlocalizedmessage optional empty else os windows file paths get address else file paths get address replace system getproperty user home string importformat data length importformat data[1] else importformat optional<parserresult> importresult importfile file importformat importresult ifpresent result outputprinter printer systemoutputprinter result haswarnings printer showmessage result geterrormessage importresult optional<parserresult> importfile path file string importformat try equals importformat system println localization lang importing file parserresult result globals format reader importfromfile importformat file optional result else means guess format system println localization lang importing unknown format file importformatreader unknownformatimport importresult importresult globals format reader importunknownformat file system println localization lang format used importresult format optional importresult parserresult catch importexception ex system err println localization lang error opening file file ': ex getlocalizedmessage optional empty boolean shouldshutdown cli isdisablegui cli isshowversion noguineeded 
4	XMPUtilMain.java	CLI	net sf jabref cli io bufferedreader io file io fileinputstream io filereader io ioexception io inputstreamreader io stringwriter nio charset standardcharsets util collection util list util optional javax xml transform transformerexception net sf jabref globals net sf jabref logic bibtex bibentrywriter net sf jabref logic bibtex latexfieldformatter net sf jabref logic importer importformatpreferences net sf jabref logic importer parserresult net sf jabref logic importer fileformat bibtexparser net sf jabref logic xmp xmppreferences net sf jabref logic xmp xmputil net sf jabref model database bibdatabasemode net sf jabref model entry bibentry net sf jabref preferences jabrefpreferences org apache jempbox impl xmlutil org apache jempbox xmp xmpmetadata xmputilmain command line tool working xmp data read write xmp metadata pdf file usage: <dl> <dd>read pdf print bibtex:< dd> <dt>xmputil pdf< dt> <dd>read pdf print raw xmp:< dd> <dt>xmputil pdf< dt> <dd>write entry bib given key pdf:< dd> <dt>xmputil key bib pdf< dt> <dd>write entries bib pdf:< dd> <dt>xmputil bib pdf< dt> dl> param args command line strings passed utility throws ioexception given files could read written throws transformerexception given bibentry malformed main string[] args throws ioexception transformerexception forget initialize preferences globals prefs null globals prefs jabrefpreferences getinstance xmppreferences xmppreferences globals prefs getxmppreferences importformatpreferences importformatpreferences globals prefs getimportformatpreferences switch args length case 0: usage break case 1: args[0] endswith pdf read pdf write bibtex list<bibentry> xmputil readxmp file args[0] xmppreferences bibentrywriter bibtexentrywriter bibentrywriter latexfieldformatter globals prefs getlatexfieldformatterpreferences false bibentry entry stringwriter sw stringwriter bibtexentrywriter write entry sw bibdatabasemode bibtex system println sw getbuffer else args[0] endswith bib read bib write xmp try filereader fr filereader args[0] parserresult result bibtexparser parse fr importformatpreferences collection<bibentry> entries result getdatabase getentries entries isempty system err println could find bibentry args[0] else system println xmputil toxmp entries result getdatabase xmppreferences else usage break case 2: equals args[0] args[1] endswith pdf read pdf write bibtex optional<xmpmetadata> meta xmputil readrawxmp file args[1] meta ispresent xmlutil save meta get getxmpdocument system standardcharsets utf name else system err println given pdf contain xmp metadata break args[0] endswith bib args[1] endswith pdf bufferedreader reader bufferedreader inputstreamreader fileinputstream args[0] standardcharsets utf need parserresult access result getdatabase later parserresult result bibtexparser importformatpreferences parse reader collection<bibentry> entries result getdatabase getentries entries isempty system err println could find bibentry args[0] else xmputil writexmp file args[1] entries result getdatabase false xmppreferences system println xmp written break usage break case 3: args[1] endswith bib args[2] endswith pdf usage break parserresult result bibtexparser parse filereader args[1] importformatpreferences optional<bibentry> bibentry result getdatabase getentrybykey args[0] bibentry ispresent xmputil writexmp file args[2] bibentry get result getdatabase xmppreferences system println xmp written else system err println could find bibentry args[0] args[0] break default: usage print usage information command line tool xmputil see xmputilmain#main string[] usage system println read write xmp metadata pdf file system println system println usage: system println read pdf print bibtex: system println xmputil <pdf> system println read pdf print raw xmp: system println xmputil <pdf> system println write entry <bib> given <key> pdf: system println xmputil <key> <bib> <pdf> system println write entries <bib> pdf: system println xmputil <bib> <pdf> system println system println report bugs visit http: jabref sourceforge net 
5	GenerateCharacterTable.java	CLI	net sf jabref cli util map util treemap net sf jabref model strings htmlunicodeconversionmaps generatecharactertable main string[] args map<integer string> charactermap treemap<> htmlunicodeconversionmaps numerical latex conversion map system println \\documentclass[10pt a4paper] article system println \\usepackage[t5 t1] fontenc system println \\usepackage amssymb system println \\usepackage amsmath system println \\usepackage txfonts system println \\usepackage xfrac system println \\usepackage combelow system println \\usepackage textcomp system println \\usepackage mathspec system println \\usepackage fontspec system println \\usepackage[a4paper margin 1cm] geometry system println \\usepackage supertabular system println \\usepackage mathabx system println \\fontspec cambria system println \\declaretextsymboldefault \\ohorn t5 system println \\declaretextsymboldefault \\uhorn t5 system println \\declaretextsymboldefault \\ohorn t5 system println \\declaretextsymboldefault \\uhorn t5 system println \\begin document system println \\twocolumn system println \\begin supertabular system println uni symb \\latex code \\\\ \n \\hline map entry<integer string> character charactermap entryset system println character getkey character getkey string valueof character tochars character getkey \\symbol integer tostring character getkey character getvalue \\verb¤ character getvalue \\\\ system println \\end supertabular system println \\end document 
6	ImportInspectionCommandLine.java	CLI	net sf jabref cli util collection util collections util linkedlist util list net sf jabref gui importer fetcher entryfetcher net sf jabref logic importer importinspector net sf jabref logic importer outputprinter net sf jabref logic l10n localization net sf jabref model entry bibentry importinspectioncommandline importinspector list<bibentry> entries linkedlist<> outputprinter status systemoutputprinter override addentry bibentry entry entries add entry override setprogress current max status setstatus localization lang progress: string valueof current string valueof max collection<bibentry> query string query entryfetcher fetcher entries clear fetcher processquery query importinspectioncommandline status entries collections emptylist 
7	SystemOutputPrinter.java	CLI	net sf jabref cli net sf jabref logic importer outputprinter systemoutputprinter outputprinter override setstatus string system println override showmessage string message string title msgtype system println title message override showmessage string message system println message 
8	Globals.java	GLOBALS	net sf jabref net sf jabref collab fileupdatemonitor net sf jabref gui globalfocuslistener net sf jabref gui keyboard keybindingpreferences net sf jabref logic error streameavesdropper net sf jabref logic importer importformatreader net sf jabref logic journals journalabbreviationloader net sf jabref logic protectedterms protectedtermsloader net sf jabref logic remote server remotelistenerserverlifecycle net sf jabref logic util buildinfo net sf jabref preferences jabrefpreferences globals jabref version info buildinfo build info buildinfo remote listener remotelistenerserverlifecycle remote listener remotelistenerserverlifecycle importformatreader format reader importformatreader main program field initialized jabref test case initializes field required jabrefpreferences prefs field initialized upon startup gui code allowed access logic code use dependency injection journalabbreviationloader journalabbreviationloader field initialized upon startup gui code allowed access logic code use dependency injection protectedtermsloader protectedtermsloader key binding preferences keybindingpreferences keyprefs background tasks globalfocuslistener focuslistener fileupdatemonitor fileupdatemonitor streameavesdropper streameavesdropper key binding preferences keybindingpreferences getkeyprefs keyprefs null keyprefs keybindingpreferences prefs keyprefs background tasks startbackgroundtasks globals focuslistener globalfocuslistener globals streameavesdropper streameavesdropper eavesdroponsystem globals fileupdatemonitor fileupdatemonitor jabrefexecutorservice instance executewithlowpriorityinownthread globals fileupdatemonitor fileupdatemonitor globalfocuslistener getfocuslistener focuslistener fileupdatemonitor getfileupdatemonitor fileupdatemonitor streameavesdropper getstreameavesdropper streameavesdropper 
9	ChangeDisplayDialog.java	GUI	net sf jabref collab awt borderlayout awt insets util collections util enumeration javax swing borderfactory javax swing jbutton javax swing jcheckbox javax swing jcomponent javax swing jdialog javax swing jframe javax swing jlabel javax swing jpanel javax swing jscrollpane javax swing jsplitpane javax swing jtree javax swing event treeselectionevent javax swing event treeselectionlistener javax swing tree defaultmutabletreenode net sf jabref gui basepanel net sf jabref gui undo namedcompound net sf jabref gui util guiutil net sf jabref logic l10n localization net sf jabref model database bibdatabase changedisplaydialog jdialog treeselectionlistener jtree tree jpanel infopanel jpanel jcheckbox cb jcheckbox localization lang accept change jlabel rootinfo jlabel localization lang select tree nodes view accept reject changes change selected jcomponent infoshown boolean okpressed changedisplaydialog jframe owner basepanel panel bibdatabase secondary defaultmutabletreenode root super owner localization lang external changes true bibdatabase localsecondary sure put empty secondary base none given: secondary null localsecondary bibdatabase else localsecondary secondary tree jtree root tree addtreeselectionlistener guiutil correctrowheight tree jsplitpane pane jsplitpane pane setleftcomponent jscrollpane tree jpanel infoborder jpanel pane setrightcomponent infoborder cb setmargin insets cb setenabled false infopanel setlayout borderlayout infoborder setlayout borderlayout infoborder setborder borderfactory createetchedborder infoborder add infopanel borderlayout center setinfo rootinfo infopanel add cb borderlayout south jbutton ok jbutton localization lang ok jpanel buttonpanel jpanel buttonpanel add ok jbutton cancel jbutton localization lang cancel buttonpanel add cancel getcontentpane add pane borderlayout center getcontentpane add buttonpanel borderlayout south cb addchangelistener selected null selected setaccepted cb isselected cancel addactionlistener dispose ok addactionlistener perform accepted changes: store edits undoable object: namedcompound ce namedcompound localization lang merged external changes enumeration<change> enumer root children boolean anydisabled false change collections list enumer boolean allaccepted false isacceptable isaccepted allaccepted makechange panel localsecondary ce allaccepted anydisabled true ce end panel getundomanager addedit ce anydisabled panel markbasechanged panel setupdatedexternally false dispose okpressed true pack boolean isokpressed okpressed setinfo jcomponent comp infoshown null infopanel remove infoshown infoshown comp infopanel add infoshown borderlayout center infopanel revalidate infopanel repaint valuechanged param treeselectionevent override valuechanged treeselectionevent object tree getlastselectedpathcomponent instanceof change selected change setinfo selected description cb setselected selected isaccepted cb setenabled selected isacceptable else setinfo rootinfo selected null cb setenabled false 
